rank;born;country;category;time_total;time_1half;time_2half;time_0to5km;time_5to10km;time_10to15km;time_15to20km;time_20to25km;time_25to30km;time_30to35km;time_35to40km;time_40to42km
380;94;FRA;W-H;03:54:41;01:56:45;01:57:57;00:27:24;00:27:38;00:28:30;00:27:14;00:26:59;00:27:45;00:28:19;00:28:31;00:12:26
381;71;ITA;W-50;03:54:43;01:53:40;02:01:03;00:26:42;00:27:02;00:27:36;00:26:34;00:26:40;00:27:01;00:28:27;00:31:13;00:13:31
382;76;ISR;W-45;03:54:43;01:59:39;01:55:05;00:29:16;00:28:17;00:28:43;00:27:33;00:26:59;00:27:23;00:27:43;00:27:22;00:11:32
383;68;GER;W-55;03:54:44;01:58:12;01:56:32;00:27:41;00:28:07;00:29:15;00:27:16;00:27:02;00:27:04;00:27:41;00:28:24;00:12:18
384;72;CZE;W-50;03:54:50;01:54:42;02:00:09;00:27:00;00:26:15;00:28:03;00:27:24;00:27:23;00:28:24;00:28:34;00:28:57;00:12:54
385;83;POL;W-40;03:54:51;01:53:26;02:01:26;00:26:29;00:26:35;00:27:34;00:26:52;00:27:25;00:28:09;00:29:58;00:30:07;00:11:46
386;73;CZE;W-50;03:54:54;01:56:01;01:58:54;00:26:56;00:27:21;00:28:19;00:27:22;00:27:41;00:27:48;00:28:24;00:28:39;00:12:27
387;95;FRA;W-H;03:54:54;01:55:32;01:59:22;00:26:52;00:26:57;00:28:25;00:27:23;00:27:38;00:28:21;00:29:26;00:28:19;00:11:36
388;75;RSA;W-45;03:54:55;01:54:52;02:00:04;00:26:42;00:27:04;00:28:15;00:27:05;00:26:33;00:27:25;00:28:25;00:29:57;00:13:32
389;83;GBR;W-40;03:54:55;01:57:06;01:57:50;00:27:34;00:27:22;00:28:30;00:27:42;00:27:30;00:27:38;00:28:05;00:28:23;00:12:16
390;94;USA;W-H;03:55:04;01:51:44;02:03:20;00:25:23;00:25:45;00:28:01;00:26:54;00:27:26;00:30:14;00:30:08;00:29:44;00:11:33
391;64;AUT;W-55;03:55:06;01:51:52;02:03:14;00:26:03;00:26:03;00:27:30;00:26:22;00:27:10;00:27:59;00:30:03;00:30:52;00:13:08
392;95;FRA;W-H;03:55:08;01:51:48;02:03:21;00:25:50;00:25:37;00:27:05;00:27:18;00:27:39;00:28:55;00:29:13;00:30:34;00:13:00
393;65;FRA;W-55;03:55:14;01:58:29;01:56:45;00:28:24;00:27:44;00:29:00;00:27:34;00:27:05;00:27:42;00:28:09;00:27:16;00:12:23
394;67;SUI;W-55;03:55:14;01:55:31;01:59:44;00:27:08;00:26:42;00:28:13;00:27:32;00:27:24;00:27:58;00:28:43;00:29:05;00:12:33
395;74;DEN;W-45;03:55:19;01:56:06;01:59:14;00:27:19;00:27:38;00:28:02;00:27:06;00:27:18;00:28:12;00:28:41;00:29:09;00:11:58
396;90;AUT;W-30;03:55:22;01:54:16;02:01:07;00:26:57;00:26:47;00:27:45;00:26:48;00:27:28;00:28:01;00:28:20;00:29:46;00:13:33
397;91;ITA;W-30;03:55:25;01:56:47;01:58:39;00:27:44;00:27:33;00:28:26;00:27:07;00:27:30;00:27:51;00:28:08;00:28:31;00:12:40
398;70;IRL;W-50;03:55:25;01:54:46;02:00:40;00:26:30;00:26:36;00:28:10;00:27:41;00:27:00;00:28:08;00:28:44;00:29:37;00:13:03
399;95;AUT;W-H;03:55:25;01:58:52;01:56:34;00:27:47;00:27:53;00:29:03;00:28:00;00:28:02;00:27:30;00:27:09;00:27:59;00:12:06
400;87;AUT;W-35;03:55:27;01:48:41;02:06:46;00:24:59;00:25:29;00:26:38;00:25:58;00:26:06;00:26:58;00:32:45;00:34:54;00:11:43
401;77;USA;W-45;03:55:27;01:52:58;02:02:30;00:26:34;00:26:05;00:27:55;00:26:38;00:27:46;00:28:57;00:30:02;00:29:47;00:11:48
402;87;SVK;W-35;03:55:31;02:00:39;01:54:53;00:29:17;00:28:13;00:29:23;00:27:50;00:27:33;00:27:41;00:27:02;00:26:50;00:11:46
403;69;AUT;W-50;03:55:32;01:57:34;01:57:59;00:27:37;00:27:33;00:28:51;00:27:30;00:27:41;00:27:41;00:28:05;00:28:11;00:12:27
404;80;AUT;W-40;03:55:35;01:51:42;02:03:53;00:26:01;00:25:40;00:27:31;00:26:40;00:27:12;00:28:33;00:29:06;00:31:25;00:13:32
405;72;ITA;W-50;03:55:41;01:54:32;02:01:09;00:26:48;00:26:46;00:28:08;00:27:02;00:27:12;00:28:07;00:28:55;00:29:51;00:12:57
406;80;SVK;W-40;03:55:41;01:57:33;01:58:09;00:28:12;00:27:45;00:28:44;00:27:06;00:26:35;00:27:15;00:29:26;00:28:35;00:12:07
407;97;AUT;W-H;03:55:51;01:54:57;02:00:55;00:26:14;00:27:22;00:28:21;00:27:00;00:28:15;00:29:15;00:28:57;00:28:34;00:11:56
408;84;AUT;W-35;03:55:52;01:56:41;01:59:11;00:27:57;00:27:05;00:28:32;00:27:10;00:27:22;00:28:05;00:28:05;00:29:03;00:12:36
409;68;AUT;W-55;03:55:53;01:52:02;02:03:52;00:25:31;00:26:36;00:27:24;00:26:39;00:26:55;00:28:42;00:29:50;00:30:56;00:13:24
410;0;USA;W-H;03:56:03;01:56:09;01:59:55;00:27:36;00:27:15;00:28:07;00:27:12;00:26:58;00:27:45;00:28:31;00:30:07;00:12:35
411;98;AUT;W-H;03:56:04;02:01:37;01:54:27;00:28:46;00:29:14;00:29:54;00:27:46;00:27:34;00:27:43;00:27:03;00:26:47;00:11:20
412;93;AUT;W-30;03:56:06;02:02:05;01:54:02;00:29:03;00:30:00;00:29:25;00:27:41;00:27:23;00:27:46;00:27:09;00:26:44;00:10:59
413;90;AUT;W-30;03:56:12;01:49:05;02:07:07;00:24:33;00:24:01;00:26:29;00:27:47;00:29:54;00:30:33;00:29:43;00:30:29;00:12:47
414;0;AUT;W-H;03:56:13;01:52:50;02:03:24;00:26:58;00:26:40;00:27:36;00:25:57;00:26:44;00:28:42;00:29:35;00:30:14;00:13:52
415;97;AUT;W-H;03:56:14;01:56:40;01:59:34;00:27:55;00:27:25;00:28:26;00:26:54;00:27:10;00:27:37;00:28:45;00:29:35;00:12:31
416;98;AUT;W-H;03:56:15;01:58:41;01:57:35;00:27:55;00:28:07;00:28:46;00:27:54;00:27:31;00:27:42;00:28:15;00:28:16;00:11:53
417;94;AUT;W-H;03:56:16;01:53:56;02:02:21;00:26:42;00:27:08;00:27:46;00:26:28;00:27:08;00:27:49;00:31:44;00:29:12;00:12:22
418;81;ESP;W-40;03:56:16;01:57:02;01:59:15;00:28:02;00:27:10;00:28:57;00:27:11;00:26:39;00:26:31;00:29:17;00:29:32;00:13:00
419;79;AUT;W-40;03:56:22;01:54:19;02:02:04;00:25:59;00:26:11;00:28:53;00:27:16;00:28:04;00:28:47;00:29:04;00:29:43;00:12:29
420;75;DEN;W-45;03:56:23;02:00:09;01:56:14;00:27:53;00:28:00;00:29:33;00:28:44;00:27:24;00:27:40;00:28:20;00:27:30;00:11:23
421;83;POL;W-40;03:56:25;01:56:22;02:00:03;00:27:00;00:27:16;00:28:50;00:27:19;00:27:38;00:27:55;00:29:07;00:29:28;00:11:56
422;60;FRA;W-60;03:56:29;01:48:22;02:08:07;00:25:32;00:25:00;00:26:09;00:26:04;00:26:11;00:27:27;00:30:39;00:33:54;00:15:36
423;88;SUI;W-35;03:56:30;01:58:40;01:57:50;00:27:49;00:27:46;00:29:15;00:27:45;00:27:52;00:28:44;00:27:51;00:27:50;00:11:42
424;82;AUT;W-40;03:56:34;01:52:08;02:04:26;00:24:51;00:26:11;00:28:00;00:27:11;00:27:39;00:28:31;00:29:33;00:31:08;00:13:35
425;76;NED;W-45;03:56:36;01:55:51;02:00:46;00:26:27;00:27:01;00:29:00;00:27:27;00:27:35;00:27:41;00:28:39;00:29:53;00:12:57
426;79;HUN;W-40;03:56:40;01:58:51;01:57:49;00:27:37;00:28:00;00:29:19;00:28:02;00:27:22;00:28:24;00:27:49;00:27:53;00:12:19
427;97;LUX;W-H;03:56:53;01:57:35;01:59:19;00:27:35;00:27:42;00:28:50;00:27:30;00:27:53;00:28:54;00:28:46;00:28:22;00:11:25
428;84;GER;W-35;03:56:53;02:00:01;01:56:53;00:30:07;00:28:05;00:28:53;00:27:14;00:26:21;00:26:20;00:28:27;00:28:55;00:12:36
429;93;AUT;W-30;03:56:57;02:00:17;01:56:40;00:28:22;00:27:53;00:29:08;00:28:55;00:27:58;00:28:47;00:27:36;00:26:44;00:11:39
430;74;AUT;W-45;03:57:04;01:58:03;01:59:01;00:27:50;00:27:45;00:28:36;00:27:55;00:27:17;00:27:46;00:28:27;00:29:01;00:12:30
431;87;AUT;W-35;03:57:19;01:58:05;01:59:15;00:27:34;00:27:15;00:29:32;00:27:54;00:29:27;00:28:04;00:28:20;00:27:47;00:11:28
432;91;AUT;W-30;03:57:22;02:02:31;01:54:52;00:28:02;00:28:13;00:32:33;00:27:48;00:27:15;00:27:03;00:27:16;00:27:39;00:11:38
433;74;SLO;W-45;03:57:28;01:55:28;02:02:00;00:26:23;00:26:54;00:28:40;00:27:35;00:28:10;00:28:29;00:29:29;00:29:29;00:12:23
434;96;NOR;W-H;03:57:28;01:48:16;02:09:13;00:24:16;00:24:37;00:26:12;00:27:07;00:27:35;00:28:43;00:31:01;00:34:58;00:13:02
435;86;GER;W-35;03:57:28;01:56:55;02:00:34;00:26:56;00:27:42;00:28:27;00:27:49;00:27:46;00:28:16;00:28:53;00:29:10;00:12:35
436;95;SUI;W-H;03:57:38;01:57:02;02:00:36;00:27:26;00:27:27;00:28:31;00:27:38;00:27:35;00:28:36;00:28:54;00:28:57;00:12:37
437;73;CRO;W-50;03:57:45;01:55:19;02:02:26;00:27:17;00:27:10;00:28:01;00:26:53;00:27:09;00:27:44;00:29:29;00:30:48;00:13:19
438;98;NED;W-H;03:57:48;01:57:27;02:00:22;00:29:08;00:27:41;00:28:10;00:26:34;00:27:13;00:27:35;00:28:43;00:29:54;00:12:56
439;91;LIE;W-30;03:57:50;01:54:48;02:03:03;00:26:08;00:27:11;00:28:37;00:26:43;00:27:50;00:28:34;00:29:21;00:30:38;00:12:52
440;94;FRA;W-H;03:57:54;01:52:09;02:05:46;00:25:56;00:26:08;00:27:13;00:26:59;00:27:05;00:28:49;00:29:27;00:32:52;00:13:30
441;74;GER;W-45;03:57:56;01:53:59;02:03:58;00:26:32;00:26:50;00:27:45;00:26:55;00:27:22;00:28:18;00:29:34;00:30:51;00:13:53
442;87;AUT;W-35;03:57:58;01:56:01;02:01:57;00:27:22;00:26:58;00:28:11;00:27:27;00:27:42;00:27:48;00:28:51;00:30:09;00:13:32
443;93;AUT;W-30;03:57:58;01:59:26;01:58:32;00:28:44;00:28:05;00:29:15;00:27:26;00:27:45;00:28:05;00:28:08;00:28:26;00:12:07
444;90;CHN;W-30;03:57:58;02:03:42;01:54:16;00:32:19;00:27:42;00:29:12;00:28:35;00:27:05;00:26:51;00:28:11;00:26:09;00:11:57
445;75;FIN;W-45;03:57:59;01:58:28;01:59:32;00:28:07;00:27:50;00:28:56;00:27:34;00:27:43;00:28:02;00:28:19;00:28:58;00:12:35
446;83;GEO;W-40;03:58:00;01:53:46;02:04:14;00:25:39;00:25:54;00:30:49;00:25:43;00:27:47;00:29:23;00:30:03;00:29:46;00:13:00
447;81;ISR;W-40;03:58:03;01:56:18;02:01:45;00:27:31;00:27:26;00:28:32;00:26:52;00:27:43;00:27:33;00:29:53;00:30:12;00:12:25
448;72;AUT;W-50;03:58:05;01:49:05;02:09:01;00:24:15;00:25:00;00:26:48;00:26:22;00:28:20;00:29:38;00:31:33;00:32:32;00:13:41
450;80;NED;W-40;03:58:09;01:55:43;02:02:27;00:26:32;00:27:22;00:28:10;00:27:35;00:27:47;00:28:47;00:29:22;00:29:44;00:12:53
451;83;AUT;W-40;03:58:13;01:53:53;02:04:20;00:26:15;00:26:37;00:27:37;00:27:19;00:27:22;00:28:20;00:29:09;00:31:39;00:13:59
452;73;SRB;W-50;03:58:19;01:55:41;02:02:39;00:27:15;00:27:13;00:28:14;00:27:05;00:26:51;00:27:28;00:28:50;00:31:47;00:13:39
453;92;GER;W-30;03:58:20;01:59:01;01:59:20;00:28:08;00:27:46;00:30:03;00:27:27;00:26:56;00:28:28;00:29:13;00:28:42;00:11:41
454;86;ISR;W-35;03:58:22;01:58:36;01:59:46;00:28:06;00:27:48;00:29:11;00:27:33;00:27:18;00:27:35;00:28:45;00:29:34;00:12:36
455;96;GER;W-H;03:58:22;02:02:24;01:55:58;00:29:42;00:29:03;00:29:35;00:28:01;00:27:46;00:27:45;00:28:06;00:27:20;00:11:08
456;97;UKR;W-H;03:58:23;02:03:22;01:55:01;00:30:08;00:29:40;00:22:56;00:28:09;00:33:12;00:27:14;00:28:09;00:27:34;00:11:25
457;91;AUT;W-30;03:58:25;02:01:22;01:57:03;00:30:12;00:28:10;00:29:11;00:27:50;00:27:14;00:27:27;00:28:02;00:28:22;00:12:01
458;94;AUT;W-H;03:58:27;01:55:40;02:02:48;00:26:35;00:26:56;00:28:13;00:27:51;00:28:07;00:29:19;00:30:00;00:29:46;00:11:45
459;74;POL;W-45;03:58:31;01:54:41;02:03:51;00:27:04;00:26:21;00:28:01;00:27:19;00:27:30;00:28:25;00:30:00;00:31:00;00:12:56
460;95;SWE;W-H;03:58:32;01:59:37;01:58:55;00:29:04;00:28:08;00:29:24;00:27:18;00:28:01;00:28:09;00:28:50;00:28:04;00:11:38
461;58;AUT;W-65;03:58:33;01:58:32;02:00:02;00:27:28;00:27:47;00:29:08;00:28:02;00:28:19;00:28:40;00:29:00;00:28:16;00:11:56
462;83;BEL;W-40;03:58:38;01:52:38;02:06:00;00:24:32;00:25:53;00:28:26;00:27:54;00:28:56;00:28:54;00:30:41;00:30:43;00:12:43
463;87;GER;W-35;03:58:50;02:00:27;01:58:24;00:28:29;00:28:38;00:29:04;00:28:05;00:27:56;00:28:15;00:27:54;00:28:23;00:12:10
464;89;UKR;W-30;03:58:53;01:59:52;01:59:01;00:29:31;00:28:13;00:28:42;00:27:33;00:27:59;00:28:15;00:29:33;00:27:48;00:11:23
465;85;SLO;W-35;03:59:02;01:51:04;02:07:59;00:24:40;00:26:19;00:27:09;00:26:49;00:27:58;00:29:13;00:32:02;00:32:06;00:12:50
466;0;AUT;W-H;03:59:08;01:59:47;01:59:22;00:28:55;00:28:17;00:29:26;00:27:10;00:27:46;00:28:43;00:28:52;00:28:14;00:11:48
467;99;AUT;W-H;03:59:11;01:56:43;02:02:28;00:27:03;00:27:26;00:28:26;00:27:47;00:27:38;00:29:03;00:29:42;00:30:24;00:11:45
468;92;GER;W-30;03:59:11;01:57:42;02:01:29;00:27:12;00:27:59;00:28:53;00:27:38;00:28:05;00:28:53;00:28:57;00:29:18;00:12:21
469;96;FRA;W-H;03:59:16;01:58:33;02:00:43;00:28:24;00:27:44;00:28:59;00:27:32;00:27:55;00:28:32;00:28:53;00:29:19;00:12:03
470;2;AUT;W-H;03:59:18;01:57:34;02:01:44;00:26:45;00:27:48;00:28:48;00:28:09;00:27:38;00:28:25;00:29:02;00:29:51;00:12:56
471;93;GER;W-30;03:59:20;01:51:41;02:07:40;00:25:16;00:25:09;00:27:48;00:27:23;00:27:51;00:28:55;00:30:40;00:32:09;00:14:15
472;97;AUT;W-H;03:59:24;02:00:03;01:59:22;00:27:55;00:28:03;00:29:41;00:28:21;00:27:25;00:28:03;00:29:23;00:28:40;00:11:57
473;67;AUT;W-55;03:59:25;01:54:27;02:04:58;00:25:27;00:26:43;00:28:18;00:27:55;00:28:19;00:29:18;00:32:15;00:29:14;00:12:00
475;94;GER;W-H;03:59:31;01:59:30;02:00:01;00:28:34;00:28:11;00:29:16;00:27:35;00:27:41;00:28:06;00:29:09;00:28:42;00:12:20
476;85;GER;W-35;03:59:34;01:53:39;02:05:55;00:27:12;00:26:15;00:27:46;00:26:39;00:27:17;00:28:23;00:31:12;00:31:24;00:13:29
477;74;CRO;W-45;03:59:34;01:55:03;02:04:31;00:25:19;00:27:08;00:28:19;00:28:10;00:29:09;00:29:53;00:30:21;00:29:14;00:12:06
478;99;AUT;W-H;03:59:35;01:52:13;02:07:23;00:26:04;00:26:41;00:27:33;00:26:18;00:26:23;00:28:02;00:30:06;00:35:02;00:13:30
479;67;AUT;W-55;03:59:40;01:55:40;02:04:00;00:26:59;00:27:15;00:28:18;00:27:17;00:27:30;00:28:48;00:30:10;00:30:37;00:12:50
480;96;AUT;W-H;04:00:03;02:00:44;01:59:19;00:28:37;00:28:33;00:29:00;00:28:33;00:27:58;00:28:23;00:28:33;00:28:27;00:12:02
481;84;HUN;W-35;04:00:09;01:57:13;02:02:57;00:27:45;00:26:39;00:28:18;00:28:11;00:28:37;00:28:36;00:30:06;00:29:33;00:12:27
482;73;POL;W-50;04:00:11;01:55:49;02:04:23;00:26:34;00:26:55;00:28:21;00:27:46;00:28:12;00:29:30;00:30:44;00:29:29;00:12:43
483;80;BRA;W-40;04:00:13;01:59:11;02:01:03;00:28:01;00:28:03;00:28:51;00:28:01;00:28:44;00:28:23;00:28:44;00:29:04;00:12:27
484;84;AUT;W-35;04:00:19;01:58:17;02:02:03;00:27:37;00:27:54;00:28:46;00:27:47;00:28:24;00:28:59;00:29:06;00:29:14;00:12:37
485;93;ROU;W-30;04:00:32;01:59:45;02:00:47;00:28:54;00:28:20;00:29:13;00:27:17;00:27:52;00:28:41;00:29:06;00:29:09;00:12:03
486;97;AUT;W-H;04:00:32;02:00:16;02:00:17;00:28:38;00:28:15;00:29:16;00:27:55;00:28:27;00:28:04;00:28:37;00:28:59;00:12:25
487;94;UKR;W-H;04:00:40;01:59:34;02:01:06;00:28:34;00:28:15;00:29:00;00:27:44;00:27:40;00:28:13;00:28:38;00:30:03;00:12:39
488;80;IRL;W-40;04:00:41;01:54:43;02:05:58;00:25:57;00:26:44;00:28:34;00:27:32;00:27:45;00:30:05;00:30:10;00:31:00;00:12:59
489;99;NED;W-H;04:00:44;01:55:01;02:05:43;00:26:36;00:26:50;00:28:21;00:27:22;00:27:23;00:28:15;00:30:33;00:32:51;00:12:37
490;79;NZL;W-40;04:00:47;01:49:51;02:10:56;00:23:58;00:25:09;00:26:59;00:27:40;00:29:01;00:31:08;00:32:55;00:31:13;00:12:48
491;83;ROU;W-40;04:00:50;01:59:03;02:01:48;00:27:51;00:27:51;00:29:15;00:28:00;00:28:14;00:28:39;00:29:23;00:29:17;00:12:23
492;93;GBR;W-30;04:00:56;01:53:32;02:07:25;00:25:26;00:27:03;00:27:54;00:27:14;00:27:18;00:28:58;00:28:48;00:35:57;00:12:21
493;79;SUI;W-40;04:01:08;01:57:12;02:03:57;00:25:36;00:27:19;00:29:16;00:28:49;00:28:27;00:28:59;00:29:01;00:30:07;00:13:38
494;85;AUT;W-35;04:01:09;01:57:32;02:03:38;00:27:09;00:28:11;00:28:47;00:27:19;00:28:22;00:28:47;00:29:11;00:30:37;00:12:49
495;62;FRA;W-60;04:01:23;01:53:28;02:07:56;00:25:34;00:26:30;00:27:55;00:27:23;00:28:07;00:30:08;00:30:19;00:32:03;00:13:29
496;71;ISR;W-50;04:01:24;02:00:08;02:01:17;00:28:15;00:28:00;00:29:28;00:28:20;00:28:07;00:29:01;00:28:54;00:29:10;00:12:14
497;71;GER;W-50;04:01:28;01:59:29;02:01:59;00:27:13;00:28:18;00:29:18;00:28:24;00:28:34;00:28:48;00:29:15;00:28:54;00:12:48
498;82;AUT;W-40;04:01:30;02:00:04;02:01:26;00:28:31;00:28:12;00:29:16;00:27:59;00:27:58;00:28:24;00:28:50;00:29:35;00:12:49
499;77;HUN;W-45;04:01:43;01:59:48;02:01:55;00:27:20;00:28:21;00:29:28;00:28:26;00:28:53;00:28:38;00:29:02;00:29:04;00:12:36
500;72;FRA;W-50;04:01:46;01:48:45;02:13:01;00:24:18;00:24:35;00:26:37;00:27:17;00:28:19;00:30:45;00:31:36;00:34:19;00:14:04
501;90;AUT;W-30;04:01:55;01:58:44;02:03:12;00:27:39;00:27:11;00:29:18;00:28:27;00:27:53;00:28:48;00:29:25;00:30:16;00:13:03
502;73;GRE;W-50;04:01:57;02:03:06;01:58:51;00:28:42;00:28:11;00:30:18;00:30:06;00:27:58;00:27:44;00:28:30;00:28:29;00:12:03
503;74;CRO;W-45;04:01:58;01:56:18;02:05:41;00:27:15;00:27:24;00:28:13;00:27:24;00:28:06;00:29:52;00:30:03;00:30:15;00:13:30
504;73;BEL;W-50;04:01:59;01:58:58;02:03:01;00:27:56;00:28:15;00:29:08;00:27:44;00:28:02;00:28:29;00:29:35;00:29:47;00:13:06
505;83;AUT;W-40;04:02:00;01:55:29;02:06:31;00:26:44;00:26:56;00:28:27;00:27:29;00:27:08;00:28:12;00:29:45;00:32:56;00:14:28
506;95;AUT;W-H;04:02:04;01:57:29;02:04:35;00:27:46;00:27:14;00:28:31;00:27:54;00:28:05;00:29:08;00:29:57;00:28:34;00:14:58
507;79;FRA;W-40;04:02:08;01:58:19;02:03:50;00:27:20;00:27:47;00:29:14;00:27:48;00:28:45;00:29:50;00:29:52;00:28:47;00:12:50
508;88;AUT;W-35;04:02:11;01:52:19;02:09:53;00:26:19;00:26:18;00:27:16;00:26:37;00:27:18;00:29:39;00:31:51;00:32:46;00:14:10
509;84;UKR;W-35;04:02:13;01:58:43;02:03:31;00:27:24;00:28:15;00:29:21;00:27:43;00:27:06;00:27:43;00:29:54;00:31:07;00:13:44
510;74;AUT;W-45;04:02:16;01:58:40;02:03:36;00:27:54;00:28:11;00:29:00;00:27:38;00:27:58;00:28:12;00:29:03;00:30:35;00:13:49
511;94;IRL;W-H;04:02:16;02:02:55;01:59:21;00:28:19;00:28:15;00:32:31;00:27:51;00:27:45;00:28:39;00:28:23;00:29:14;00:11:23
512;94;GBR;W-H;04:02:16;02:01:31;02:00:45;00:29:47;00:28:11;00:29:24;00:28:17;00:27:26;00:27:45;00:29:22;00:29:29;00:12:39
513;64;SUI;W-55;04:02:24;02:00:10;02:02:14;00:28:21;00:28:26;00:29:30;00:28:00;00:27:37;00:28:46;00:28:58;00:29:59;00:12:51
514;89;GER;W-30;04:02:28;02:02:01;02:00:27;00:29:52;00:28:31;00:29:44;00:27:54;00:28:14;00:28:33;00:29:00;00:28:40;00:12:04
515;88;ESP;W-35;04:02:29;01:57:41;02:04:49;00:28:03;00:27:07;00:29:00;00:27:29;00:28:54;00:29:07;00:29:52;00:30:11;00:12:51
516;97;AUT;W-H;04:02:30;02:05:21;01:57:10;00:29:39;00:29:27;00:31:02;00:28:55;00:28:39;00:28:33;00:28:20;00:27:13;00:10:46
517;92;FRA;W-30;04:02:31;02:00:04;02:02:27;00:28:13;00:28:33;00:28:54;00:28:12;00:28:14;00:28:35;00:29:21;00:29:42;00:12:51
518;86;BEL;W-35;04:02:34;02:01:06;02:01:28;00:28:27;00:28:33;00:30:20;00:27:58;00:27:54;00:27:57;00:28:51;00:29:22;00:13:16
519;77;AUT;W-45;04:02:35;01:57:53;02:04:43;00:27:32;00:27:28;00:28:53;00:27:49;00:28:01;00:28:35;00:29:32;00:30:48;00:14:01
520;71;POL;W-50;04:02:42;01:58:07;02:04:35;00:28:26;00:27:52;00:28:19;00:27:23;00:27:55;00:28:17;00:28:24;00:28:34;00:17:35
521;96;ISR;W-H;04:02:59;01:59:01;02:03:59;00:26:56;00:28:15;00:29:30;00:28:10;00:28:41;00:29:05;00:29:25;00:29:56;00:13:06
522;89;GER;W-30;04:03:10;01:57:10;02:06:01;00:26:33;00:27:28;00:28:49;00:28:08;00:28:49;00:29:49;00:29:53;00:30:39;00:13:05
523;84;MLT;W-35;04:03:17;01:56:43;02:06:34;00:26:34;00:27:14;00:28:48;00:28:01;00:00:00;00:00:00;00:29:24;00:30:49;00:13:02
524;93;FRA;W-30;04:03:19;01:58:29;02:04:50;00:27:23;00:27:44;00:28:58;00:28:12;00:28:27;00:29:20;00:30:09;00:30:24;00:12:44
525;66;ITA;W-55;04:03:28;01:56:34;02:06:55;00:25:52;00:27:19;00:28:53;00:28:21;00:28:22;00:29:23;00:30:24;00:31:05;00:13:53
526;66;GER;W-55;04:03:31;01:57:50;02:05:41;00:27:26;00:27:56;00:28:42;00:27:43;00:27:42;00:29:09;00:29:29;00:31:34;00:13:55
527;85;MLT;W-35;04:03:33;01:57:56;02:05:37;00:27:44;00:28:06;00:28:44;00:27:22;00:27:25;00:27:44;00:29:55;00:32:35;00:14:01
528;81;AUT;W-40;04:03:34;01:55:45;02:07:49;00:26:56;00:26:34;00:27:50;00:28:22;00:28:41;00:30:58;00:31:08;00:30:19;00:12:49
529;68;GER;W-55;04:03:39;02:00:48;02:02:52;00:28:21;00:28:41;00:29:25;00:28:19;00:28:19;00:29:02;00:29:04;00:29:41;00:12:52
530;70;FRA;W-50;04:03:43;01:57:52;02:05:52;00:27:21;00:27:47;00:28:58;00:27:44;00:27:54;00:29:07;00:30:44;00:31:12;00:13:02
531;75;HUN;W-45;04:03:52;01:58:45;02:05:07;00:27:05;00:27:53;00:29:35;00:27:54;00:28:48;00:29:16;00:29:44;00:31:05;00:12:37
532;74;AUT;W-45;04:03:53;01:59:38;02:04:15;00:28:28;00:28:05;00:29:11;00:27:51;00:28:12;00:28:17;00:29:07;00:30:39;00:14:05
533;79;IRL;W-40;04:03:54;02:01:01;02:02:53;00:28:08;00:28:19;00:29:49;00:28:39;00:28:01;00:28:39;00:30:03;00:29:29;00:12:50
534;84;POL;W-35;04:04:06;01:55:07;02:09:00;00:26:54;00:26:47;00:28:05;00:27:19;00:29:09;00:30:04;00:32:27;00:30:24;00:13:01
535;92;POL;W-30;04:04:06;02:01:49;02:02:18;00:29:08;00:28:43;00:29:10;00:28:41;00:27:54;00:28:44;00:29:48;00:29:27;00:12:34
536;85;LTU;W-35;04:04:07;02:03:10;02:00:58;00:28:33;00:28:18;00:32:03;00:28:15;00:29:02;00:29:15;00:29:15;00:28:12;00:11:19
537;87;AUT;W-35;04:04:12;01:59:18;02:04:54;00:27:29;00:27:45;00:29:27;00:28:28;00:29:04;00:28:55;00:30:22;00:29:55;00:12:50
538;81;BRA;W-40;04:04:14;01:59:30;02:04:44;00:28:29;00:28:03;00:28:53;00:28:02;00:27:51;00:27:57;00:28:56;00:32:38;00:13:30
539;75;GER;W-45;04:04:20;01:57:18;02:07:02;00:26:18;00:27:23;00:28:55;00:28:38;00:29:12;00:29:51;00:30:45;00:30:12;00:13:11
540;81;CZE;W-40;04:04:30;01:51:28;02:13:02;00:25:04;00:25:48;00:27:40;00:27:02;00:27:19;00:29:06;00:32:27;00:35:42;00:14:25
541;90;AUT;W-30;04:04:31;01:56:56;02:07:35;00:27:18;00:27:19;00:28:36;00:27:44;00:27:23;00:28:44;00:30:57;00:32:25;00:14:09
542;89;CRO;W-30;04:04:33;02:02:41;02:01:52;00:28:56;00:29:10;00:30:08;00:28:18;00:28:04;00:28:35;00:29:31;00:29:19;00:12:37
543;74;AUT;W-45;04:04:33;01:56:01;02:08:32;00:26:11;00:26:50;00:28:40;00:28:04;00:28:32;00:29:44;00:30:57;00:32:06;00:13:32
544;80;ITA;W-40;04:04:34;01:58:26;02:06:09;00:26:13;00:27:42;00:29:17;00:28:03;00:29:22;00:29:23;00:30:12;00:31:23;00:13:04
545;2;ITA;W-H;04:04:35;02:02:35;02:02:00;00:28:35;00:28:43;00:30:12;00:28:47;00:29:01;00:28:55;00:28:52;00:28:57;00:12:36
546;88;FRA;W-35;04:04:44;02:01:12;02:03:32;00:29:17;00:28:31;00:29:27;00:27:50;00:27:44;00:28:39;00:29:43;00:30:13;00:13:25
547;74;ITA;W-45;04:04:57;02:01:56;02:03:02;00:29:25;00:27:40;00:29:47;00:28:49;00:28:27;00:29:07;00:29:21;00:29:17;00:13:06
